action_sequence,anchor_id,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,perturbation_intensity,perturbation_seed,perturbation_type,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
"agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Explore[hallway_1]|agent1:Wait[None]|agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Navigate[bed_45]|agent1:Wait[None]|agent0:Pick[credit_card_0]|agent1:Wait[None]|agent0:Navigate[table_30]|agent1:Wait[None]|agent0:Pick[credit_card_0]|agent1:Wait[None]|agent0:Navigate[bed_45]|agent1:Wait[None]|agent0:Place[credit_card_0, on, table_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",9,1521.0,,1.0,9,0.0,0.0,,,0.0,0.0,0.0,0.0,Take the credit card from the hallway to the bedroom and put it on the bedside table.,0.2,0,irrelevant_perturbation,1.0,exact,29.57112270535189,52.75919358301631,,51.82758441973847,,,0.2758620594530323,1.0,3.0,857.5625880263274,3.0,3.0,0.0,3.0,0.0,29.0,12.0,12.0,0,256.52220726013184,1519.0,0.7731052769078636,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,24.0,0.030751027166843414,1.0,1.0
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Wait[None]|agent0:Pick[plate_3]|agent1:Wait[None]|agent0:Place[plate_0, dining_room_1, on]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_3]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_3, on, table_21, next_to, plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_4]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, next_to, plate_0]|agent1:Navigate[kitchen_1]|agent0:Place[glass_4, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, next_to, plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_10]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_10, on, table_21, next_to, glass_4]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_5]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_5, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_11]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_11, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Place[fork_11, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",129,2173.0,,1.0,129,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",0.2,0,irrelevant_perturbation,1.0,exact,54.79818490407832,101.24785178922713,,93.72399198487524,,,0.0,1.0,16.0,1234.5038564399988,16.0,16.0,0.0,16.0,0.0,22.90625,35.0,35.0,0,963.5187480449677,2172.0,0.47343764381040043,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0033334505278617144,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",79,2176.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,0.4,0,irrelevant_perturbation,1.0,exact,39.29411437564827,75.6385031389022,,55.41379119262789,,,0.0,1.0,1.0,1139.5293561879143,1.0,1.0,0.0,1.0,0.0,29.0,9.0,9.0,0,532.3260633945465,2174.0,0.714974919517881,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0008843221585266292,0.4,0.0
"agent0:Rearrange[sushi_mat, table_14]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",127,1136.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,0.4,0,irrelevant_perturbation,1.0,exact,20.916474388885756,39.155745776238646,,31.827585109393617,,,0.0,1.0,1.0,606.5777781941614,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,132.2681131362915,1135.0,0.7042763234002314,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0001611296902410686,1.0,1.0
"agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, within, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, within, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",78,1030.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,0.4,0,irrelevant_perturbation,1.0,exact,18.67976676325469,35.74195279050736,,26.86206803923903,,,0.0,1.0,1.0,541.7132548141528,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,145.51936197280884,1029.0,0.7283817901848632,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0054041300900280476,1.0,1.0
"agent0:Rearrange[sushi_mat, table_29]|agent1:Rearrange[ramekin, table_29]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[sushi_mat, on, table_29, None, None]|agent1:Rearrange[ramekin, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Done[None]|agent1:Done[None]",60,1427.0,,1.0,60,0.0,0.0,,,0.0,0.0,0.0,0.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",0.4,0,irrelevant_perturbation,1.0,exact,140.9029314944999,250.99987450006273,,245.49987725006136,,,0.9999995000002498,1.0,1.0,281.8060038919313,1.0,1.0,0.0,1.0,0.0,2.0,8.0,8.0,0,230.81910181045532,1423.0,0.6801002216457033,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,67.0,0.0022980899084359407,1.0,1.0
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_0, chair_32]|agent1:Rearrange[toy pineapple, chair_33]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Done[None]|agent1:Done[None]",81,1479.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,0.4,0,irrelevant_perturbation,1.0,exact,24.223177445034487,43.431607697760654,,41.24137788822835,,,0.40229883670233907,1.0,1.0,702.4721701291776,1.0,1.0,0.0,1.0,0.0,29.0,6.0,6.0,0,229.46077704429626,1477.0,0.7152959848499327,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,35.0,0.0014682277105748653,1.0,1.0
"agent0:Rearrange[kettle_0, stool_18]|agent1:Rearrange[potato_0, stool_18]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Done[None]|agent1:Done[None]",80,979.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,0.4,0,irrelevant_perturbation,1.0,exact,14.63126355327567,28.08678064068572,,20.44827515695603,,,0.41379308917954877,1.0,1.0,424.306657676258,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,140.08618569374084,977.0,0.633383473180566,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,36.0,0.005492334254086018,1.0,1.0
"agent0:Explore[living_room_1]|agent1:Explore[living_room_1]|agent0:Rearrange[cellphone_0, table_14]|agent1:Rearrange[phone_stand_1, table_14]|agent0:Rearrange[cellphone_0, on, table_15, None, phone_stand_1]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Rearrange[cellphone_0, next_to, table_15, next_to, phone_stand_1]|agent1:Rearrange[phone_stand_1, next_to, table_15, next_to, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15, next_to, None]|agent1:Place[phone_stand_1, on, table_15, next_to, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15, next_to, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Pick[cellphone_0]|agent1:Pick[phone_stand_1]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Rearrange[cellphone_0, on, table_15, None, None]|agent1:Rearrange[phone_stand_1, on, table_15, None, cellphone_0]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Place[cellphone_0, on, table_15]|agent1:Place[phone_stand_1, on, table_15]|agent0:Done[None]|agent1:Done[None]",126,994.0,,1.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",0.4,0,irrelevant_perturbation,1.0,exact,9.549196407726768,1.2432432096420756,,21.810810221329454,,,2.6846846121256323,1.0,2.0,353.3202766350868,2.0,2.0,0.0,2.0,0.0,37.0,28.0,28.0,0,301.5624361038208,975.0,0.2830825150993755,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,298.0,0.00604530842974782,0.0,0.0
"agent0:Explore[bedroom_1]|agent1:Explore[bedroom_2]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[cushion_0, chair_28]|agent1:Rearrange[toy_construction_set_1, table_10]|agent0:Rearrange[cushion_0, on, chair_28, None, None]|agent1:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent0:Place[cushion_0, on, chair_28, None, None]|agent1:Wait[None]|agent0:Navigate[living_room_1]|agent1:Wait[None]|agent0:Place[cushion_0, on, chair_29, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Navigate[chair_29]|agent1:Wait[None]|agent0:Place[cushion_0, on, chair_29, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1,1482.0,,1.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,0.4,0,irrelevant_perturbation,1.0,exact,16.58612741094127,8.690229585394382,,37.448274570749156,,,0.48275860404280657,1.0,3.0,480.9977115034243,3.0,3.0,0.0,3.0,0.0,29.0,11.0,11.0,0,263.0308141708374,1478.0,0.7362753036437246,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,42.0,0.053179241716861725,1.0,1.0
