anchor_id,condition_label,condition_name,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,evolve_step,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_evolve_step_e,ge_hard_boundary_hit,ge_stress_lambda,ge_valid_lambda_coverage,instruction,normalized_cbf_penalty_rate,perturbation_intensity,perturbation_seed,perturbation_type,phase_label,proposition_satisfied_fraction,proposition_satisfied_fraction_source,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,safety_collision_rate,safety_score,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,stress_lambda,subexperiment_name,suite_name,task_family,task_percent_complete,task_state_success,total_step_count,unsafe_rate
78,default,default,3203.0,,1.0,78,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,,1.0,0,surface_rewrite,main,0.0,task_percent_complete_fallback,1.0,exact,39.811380353652794,72.85393094710267,,68.13482992955439,,,1.9475654993056444,1.0,37.0,1771.6064655489297,37.0,37.0,0.0,37.0,0.0,44.5,100.0,100.0,0,1163.5539700984955,,,3202.0,0.24291615773514838,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,264.0,0.00838326383382082,1.0,rebound_validity,expq1,placement_only,0.0,0.0,0,
81,default,default,1063.0,,1.0,81,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,,1.0,0,surface_rewrite,main,1.0,task_percent_complete_fallback,1.0,exact,12.131300661799855,24.0453178117157,,15.393258081050382,,,0.1423220941800278,1.0,1.0,539.8428915813942,1.0,1.0,0.0,1.0,0.0,44.5,5.0,5.0,0,185.523344039917,,,1062.0,0.7299477287548553,0.0,0.09375,,1,0.1875,0.25,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,19.0,0.0022827074863016605,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
126,default,default,3281.0,,1.0,126,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",,1.0,0,surface_rewrite,main,0.0,task_percent_complete_fallback,1.0,exact,37.6514697649125,69.31249855598959,,64.83333198263891,,,0.0,1.0,37.0,1807.2705863672702,37.0,37.0,0.0,37.0,0.0,48.0,100.0,100.0,0,1038.600512266159,,,3280.0,0.17137803980290284,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.00965394638478756,1.0,rebound_validity,expq1,spatial_relation,0.0,0.0,0,
11,default,default,4230.0,,1.0,11,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",,1.0,0,surface_rewrite,main,1.0,task_percent_complete_fallback,1.0,exact,53.60833837717066,95.12621509079668,,94.35954844135846,,,0.0,1.0,6.0,2385.571111392433,6.0,6.0,0.0,6.0,0.0,44.5,16.0,16.0,0,1220.1899185180664,,,4229.0,0.5907801418439717,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,0.0,0.05306549370288849,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
80,default,default,1300.0,,1.0,80,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,,1.0,0,object_state_toggle,main,1.0,task_percent_complete_fallback,1.0,exact,22.372011185141922,27.406466075387225,,43.66119061103111,,,2.77038307352861,1.0,4.0,611.7649038801818,4.0,4.0,0.0,4.0,0.0,28.75,11.0,11.0,0,236.61470913887024,,,1299.0,0.7882852736259782,0.0,0.25,,1,0.5,1.0,neighborhood_M=2_Pi=2,1.0,0.0,medoid,1,1,302.0,0.0050775520503520966,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
79,default,default,2595.0,,1.0,79,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,,1.0,0,object_state_toggle,main,0.8,task_percent_complete_fallback,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,9.0,0,684.4310050010681,,,2594.0,0.7030738032087803,0.0,0.075,,1,0.15,0.09999999999999998,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,18.0,2.6742936825030483e-05,1.0,rebound_validity,expq1,placement_only,0.8,0.0,0,
127,default,default,1524.0,,1.0,127,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,,1.0,0,object_state_toggle,main,1.0,task_percent_complete_fallback,1.0,exact,19.273481461523872,34.2247183320288,,33.95505541674033,,,0.0,1.0,2.0,857.6699443112938,2.0,2.0,0.0,2.0,0.0,44.5,8.0,8.0,0,197.70665311813354,,,1523.0,0.696703028653031,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,0.0,0.05034030228853226,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
78,default,default,1131.0,,1.0,78,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,,1.0,0,object_state_toggle,main,1.0,task_percent_complete_fallback,1.0,exact,10.506358075551503,7.371160883045075,,19.640448996843844,,,0.8764044746875399,1.0,1.0,467.53294486839997,1.0,1.0,0.0,1.0,0.0,44.5,6.0,6.0,0,166.6432716846466,,,1130.0,0.6911696389740813,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,117.0,0.01078070793300867,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
81,default,default,1554.0,,1.0,81,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,,1.0,0,object_state_toggle,main,0.5,task_percent_complete_fallback,1.0,exact,52.9975400712234,102.46654375794927,,88.74243090805558,,,0.0,1.0,34.0,802.3785594842493,34.0,34.0,0.0,34.0,0.0,14.852941176470589,100.0,100.0,0,423.1231896877289,,,1549.0,0.25685169592124035,0.0,0.09375,,1,0.1875,0.25,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.001356130582280457,1.0,rebound_validity,expq1,placement_only,0.5,0.0,0,
126,default,default,2311.0,,1.0,126,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",,1.0,0,object_state_toggle,main,1.0,task_percent_complete_fallback,1.0,exact,21.026327187944247,41.41249913723961,partial_formal_windows:stage_baseline_key_missing,27.16666610069446,,,0.0,0.0,2.0,1009.2637260476511,2.0,3.0,1.0,3.0,0.0,48.0,9.0,9.0,0,455.93361234664917,,,2310.0,0.7097930344336583,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.001112722558900714,1.0,rebound_validity,expq1,spatial_relation,1.0,1.0,0,
11,default,default,3226.0,,1.0,11,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",,1.0,0,object_state_toggle,main,1.0,task_percent_complete_fallback,1.0,exact,52.5283803069076,79.03733509205387,partial_formal_windows:stage_baseline_key_missing,98.18063533900325,,,0.0,0.0,5.0,1759.3375316623556,5.0,6.0,1.0,6.0,0.0,31.9,20.0,20.0,0,899.5469002723694,,,3225.0,0.7843846200613696,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,0.0,0.007573128677904606,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
